Theta	Phi	Total-adj
0	0	-1.90
1	0	-2.36
2	0	-2.14
3	0	-1.39
4	0	1.01
5	0	-7.77
6	0	-8.65
7	0	-15.54
8	0	-14.53
9	0	-11.26
10	0	-10.53
11	0	-2.24
12	0	-7.25
13	0	-8.03
14	0	-4.16
15	0	-3.61
16	0	-1.96
17	0	-5.13
18	0	-2.61
19	0	3.10
20	0	3.81
21	0	-3.10
22	0	1.08
23	0	-0.82
24	0	-5.11
25	0	-6.93
26	0	-7.56
27	0	-1.32
28	0	-8.30
29	0	-2.68
30	0	-5.24
31	0	-2.60
32	0	-2.93
33	0	-7.06
34	0	-11.80
35	0	-3.31
36	0	-2.92
37	0	1.59
38	0	1.49
39	0	4.95
40	0	4.46
41	0	4.02
42	0	3.62
43	0	-0.45
44	0	2.30
45	0	-0.30
46	0	-0.82
47	0	-0.78
48	0	0.03
49	0	0.40
50	0	-1.44
51	0	-2.17
52	0	-1.47
53	0	-0.77
54	0	-1.70
55	0	-1.81
56	0	-1.41
57	0	-3.26
58	0	-0.70
59	0	0.02
60	0	-0.13
61	0	-3.29
62	0	-3.68
63	0	-2.00
64	0	-0.45
65	0	-1.74
66	0	-1.49
67	0	-0.70
68	0	-1.17
69	0	-1.16
70	0	-1.24
71	0	0.05
72	0	0.20
73	0	-0.59
74	0	-2.21
75	0	-4.00
76	0	-3.33
77	0	-12.21
78	0	-10.18
79	0	-10.78
80	0	1.51
81	0	-2.52
82	0	-12.61
83	0	-5.12
84	0	-3.65
85	0	-10.15
86	0	-13.53
87	0	-0.48
88	0	-7.49
89	0	-12.42
90	0	-1.22
91	0	-28.14
92	0	-24.90
93	0	-26.42
94	0	-37.45
95	0	-37.49
96	0	-27.29
97	0	-27.79
98	0	-33.42
99	0	-10.08
100	0	-11.23
101	0	-20.26
102	0	-19.27
103	0	-6.72
104	0	-6.64
105	0	-3.73
106	0	-5.97
107	0	-8.25
108	0	-4.18
109	0	-3.64
110	0	-1.86
111	0	-3.32
112	0	-4.66
113	0	-4.88
114	0	-4.85
115	0	-3.65
116	0	-1.97
117	0	-3.33
118	0	-1.34
119	0	-1.74
120	0	1.46
121	0	-0.58
122	0	-3.31
123	0	-2.61
124	0	-0.41
125	0	1.65
126	0	-3.69
127	0	-1.14
128	0	-1.35
129	0	0.56
130	0	-4.02
131	0	-1.23
132	0	-0.73
133	0	-1.67
134	0	-14.80
135	0	-6.79
136	0	-1.37
137	0	-3.34
138	0	-0.52
139	0	-2.13
140	0	-1.33
141	0	-0.46
142	0	3.70
143	0	2.17
144	0	-0.65
145	0	-1.79
146	0	0.49
147	0	2.05
148	0	1.49
149	0	4.00
150	0	2.69
151	0	2.48
152	0	0.86
153	0	1.40
154	0	1.94
155	0	2.27
156	0	-2.27
157	0	-1.45
158	0	-5.14
